 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/15/2025

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points","Per Game"
"","Andrea Di Blasio","Boston U.","Jr.","6-1","F","4"
"","Tiago Dias","Bryant","Sr.","6-3","-","4"
"","Charlie Dickerson","Providence","Sr.","6-0","D","4"
"","Samir Dishnica","Lafayette","Jr.","6-0","M","4"
"","Dren Dobruna","Dayton","So.","5-10","D","4"
"","Joao Domingues","FIU","Sr.","5-7","M","4"
"","Benjamin Donato","Stetson","So.","-","M","4"
"","Marco Dos Santos","Virginia","Jr.","5-9","F","4"
"","Liam Duggan","UMass Lowell","So.","5-11","M","4"
"","Arthur Duquenne","Clemson","Jr.","5-9","D","4"
"","Taj Eagleston","San Diego","So.","5-10","M","4"
"","Jack Endacott","Loyola Maryland","Fr.","5-11","D","4"
"","Tancredi Fadda","Evansville","Sr.","6-2","F","4"
"","Luca Fava","San Diego","So.","5-9","M","4"
"","Miguel Fernandez","Kansas City","Jr.","5-7","M","4"
"","Mauro Fernandez","UMass Lowell","Sr.","5-8","M","4"
"","Rodrigo Fernandez Martinez","Pacific","So.","5-11","D","4"
"","Daniel Firek","Lipscomb","Jr.","5-11","M","4"
"","Daniel Firs","Loyola Chicago","So.","6-2","D","4"
"","Luke Fischer","California Baptist","So.","6-2","D","4"
"","Matthew Fisher","Michigan","Jr.","5-9","D","4"
"","Edson Flores","Canisius","Jr.","5-8","M","4"
"","Galen Flynn","South Carolina","Sr.","6-0","D","4"
"","Shane Fonseca","Stonehill","Sr.","5-10","F","4"
"","Valentin Fontaine","Stetson","Fr.","-","M","4"
"","Pietro Fontana","Central Ark.","Sr.","5-11","F","4"
"","Emmanuel Frimpong","Pacific","Fr.","6-2","M","4"
"","Alex Galloway","Navy","Jr.","6-0","D","4"
"","David Garcia","George Mason","Jr.","6-0","D","4"
"","Enzo Gindro","Oral Roberts","So.","5-8","D","4"
"","Eskil Gjerde","Drake","Sr.","6-0","D","4"
"","Noah Gold","Col. of Charleston","Sr.","-","-","4"
"","Mitch Goodman","Milwaukee","Jr.","5-7","D","4"
"","Kevin Gorbell","Robert Morris","Jr.","6-1","D","4"
"","Ethan Gordon","DePaul","Jr.","6-2","D","4"
"","Koke Gracia Martinez","Sacred Heart","Sr.","6-1","D","4"
"","Rodrigo Grenha","NJIT","Fr.","5-11","D","4"
"","Max Gummesson","UConn","Jr.","6-1","M","4"
"","Leandro Haesler","Lindenwood","Sr.","6-3","D","4"
"","Magnus Halldorsson","Massachusetts","Fr.","6-0","M","4"
"","Oscar Halls","Loyola Maryland","So.","6-2","D","4"
"","Tarek Hamideh","UC Riverside","So.","5-11","M","4"
"","Sabri Hanni","UConn","Jr.","5-7","M","4"
"","Colin Hargraves","Stonehill","Sr.","5-10","D","4"
"","Mathis Haugen","South Fla.","Sr.","5-11","D","4"
"","Matt Hawkins","Evansville","Jr.","5-9","M","4"
"","Lennart Heck","Cleveland St.","So.","6-2","D","4"
"","D'Alessandro Herrera","Houston Christian","Sr.","5-9","M","4"
"","Tim Hoffman","Oregon St.","Fr.","-","M","4"
"","Hamilton Howes","William & Mary","Jr.","6-3","D","4"
"","Baxter Hurt","Lipscomb","So.","6-4","D","4"
"","Andre Insalaco","Fordham","Sr.","6-1","F","4"
"","Cland Iwasaki","Eastern Ill.","Jr.","5-11","D","4"
"","Gregory Jervier II","Northern Ky.","Fr.","5-10","F","4"
"","Uros Jevtic","Cleveland St.","Sr.","6-0","D","4"
"","Ricardo Joasilus","Rider","Sr.","6-2","M","4"
"","Ellis Jones","Wisconsin","Jr.","6-2","D","4"
"","Jaxson Kahawai","Stonehill","Jr.","5-10","D","4"
"","Drew Kamienski","UC Santa Barbara","Jr.","6-3","D","4"
"","Oskar Kaufmann","USC Upstate","So.","6-2","F","4"
"","Kevin Kelley","Princeton","Jr.","5-9","F","4"
"","Aamir Ketbache","UMass Lowell","So.","6-2","D","4"
"","Rustin Khosravi","Harvard","Sr.","5-10","D","4"
"","Alex Kiss","Central Ark.","Sr.","5-11","D","4"
"","Loed Klaasen","Coastal Carolina","Sr.","6-1","M","4"
"","Stan Klaver","IU Indy","So.","6-1","D","4"
"","Jordan Klein","Western Mich.","So.","6-1","M","4"
"","Simon Knuewe","Binghamton","Sr.","6-5","M","4"
"","Nate Kovalcik","Coastal Carolina","Sr.","6-2","D","4"
"","Samson Kpardeh","Gardner-Webb","So.","5-8","M","4"
"","Dylan Kropp","North Carolina","Sr.","6-2","D","4"
"","Victor Labite","FDU","Jr.","6-3","-","4"
"","Fynn Lahrsen","Villanova","So.","6-4","F","4"
"","Ayoub Lajhar","UConn","Jr.","6-0","D","4"
"","Yanis Lakhlifi","St. Thomas (MN)","Sr.","6-1","F","4"
"","Glen Lala","Saint Joseph's","Sr.","6-0","M","4"
"","Jaland Larmond","Coastal Carolina","Sr.","5-8","FM","4"
"","Kevin Larsson","Kentucky","Sr.","5-9","M","4"
"","Ethan Leary","Northeastern","So.","6-1","D","4"
"","Carlos Leatherman","Saint Louis","Jr.","5-5","M","4"
"","Mathys Lefebvre","FIU","Sr.","6-0","M","4"
"","Edgar Leon","Seattle U","So.","5-8","M","4"
"","Wyatt Lewis","Notre Dame","Jr.","6-1","M","4"
"","Siddiq Lezzar","CSUN","Sr.","6-0","D","4"
"","Finn Linas","Cal Poly","So.","5-10","F","4"
"","Daniel Longo","UNC Greensboro","Sr.","6-0","M","4"
"","Daniel Losfablos","Sacred Heart","Sr.","6-0","D","4"
"","Josh Lucas","San Diego St.","Sr.","6-0","M","4"
"","James Lucas","Manhattan","Sr.","5-7","M","4"
"","Luka Lukic","Temple","Fr.","6-3","D","4"
"","Kyrese Lynch-Bailey","La Salle","Jr.","5-8","FM","4"
"","Kyle Macfarlane","St. Bonaventure","Jr.","6-0","M","4"
"","Samuel Manufor","Charlotte","Fr.","6-1","D","4"
"","Julian Marcos","Mount St. Mary's","Sr.","6-3","GK","4"
"","Luke Marin","USC Upstate","Jr.","5-6","M","4"
"","Ivan Marques","Sacred Heart","So.","5-9","M","4"
"","Ander Marticorena","UCLA","Fr.","-","M","4"
"","Jona Martinez","UC Riverside","Jr.","5-8","M","4"
"","Ramses Martinez","UC Santa Barbara","Sr.","5-8","M","4"
"","Angel Martinez","Portland","So.","-","D","4"
"","Giovanni Massacesi","NJIT","Sr.","6-1","M","4"
"","Alex Matthews","Missouri St.","Jr.","5-7","M","4"
"","Shane McCreery","Saint Peter's","Sr.","6-1","D","4"
"","Justin Mclean","NC State","Sr.","6-0","M","4"
"","D.T. Megliola","Binghamton","So.","5-10","F","4"
"","Alan Melendez","UAB","Sr.","5-11","M","4"
"","Miguel Menendez","Old Dominion","Jr.","5-8","M","4"
"","Ashwin Menon","Duquesne","Jr.","5-10","D","4"
"","Mitar Mitrovic","Michigan","Sr.","6-2","M","4"
"","Kamran Mojabi","Fordham","Jr.","5-10","D","4"
"","Cade Morgan","Bellarmine","Jr.","5-10","M","4"
"","Santino Moriconi","New Hampshire","Fr.","6-0","F","4"
"","Daniel Murray","SIUE","Fr.","5-10","M","4"
"","Andrew Myerson","Yale","Sr.","6-1","D","4"
"","Marques Nana-Sinkam","Fairfield","Jr.","6-1","M","4"
"","Sumner Nenninger","Elon","Sr.","5-11","M","4"
"","Ethan Newsome","UNCW","Sr.","5-8","M","4"
"","Ismail Nieves","LMU (CA)","Sr.","6-3","D","4"
"","Connor O Reilly","FDU","Sr.","-","M","4"
"","Micah O'Garro","Saint Peter's","Sr.","6-3","D","4"
"","Franco Ocana","Gardner-Webb","Fr.","-","M","4"
"","Ryan Okerayi","Houston Christian","Jr.","6-3","F","4"
"","Finlay Oliver","Stony Brook","Jr.","6-5","F","4"
"","Jamie Orson","Stony Brook","Sr.","6-3","D","4"
"","Ethan Ortiz","Marist","Jr.","5-11","D","4"
"","Sebastian Otero","Boston U.","Fr.","5-8","M","4"
"","Gabriel Pacheco","Hofstra","Sr.","6-2","D","4"
"","Ezekiel Padilla","Pacific","So.","5-8","F","4"
"","Giovanni Padilla","UIW","So.","-","-","4"
"","Nicolas Papadopoulos","Lafayette","Fr.","6-5","F","4"
"","Luciano Pechota","Ohio St.","Sr.","5-6","M","4"
"","Umberto Pelà","Virginia","Sr.","5-11","M","4"
"","David Pepple","UAlbany","So.","5-11","D","4"
"","Americo Pereira","La Salle","Sr.","6-1","D","4"
"","Maguire Perkins","Omaha","So.","6-1","D","4"
"","Ty Perkins","Green Bay","Fr.","6-2","M","4"
"","Jake Poole","George Washington","So.","6-1","D","4"
"","Jaden Prado","Northeastern","Jr.","5-10","D","4"
"","Jayden Quezada","Chicago St.","Fr.","5-6","D","4"
"","Julian Quiroga","Saint Francis","Fr.","5-11","M","4"
"","Evan Rabush","William & Mary","Jr.","6-0","D","4"
"","Cole Ramey","Colgate","Fr.","6-2","F","4"
"","Matthew Reed","Creighton","Jr.","5-10","D","4"
"","Conner Reid","VMI","Jr.","6-6","D","4"
"","Daragh Reilly","Akron","Sr.","6-0","D","4"
"","Dominik Renz","Elon","So.","6-2","M","4"
"","Tate Richards","Oregon St.","Sr.","-","M","4"
"","Chase Ricker","Evansville","Fr.","5-8","M","4"
"","Lilian Ricol","UCF","Jr.","6-2","F","4"
"","Ricardo Rittersberger Galan","St. Bonaventure","Sr.","6-0","F","4"
"","Ethan Roberts","Campbell","Sr.","6-1","F","4"
"","Andres Rodriguez","VCU","Sr.","5-8","M","4"
"","Pavel Romero-Garmendia","Georgia St.","So.","5-11","M","4"
"","Bautista Rossi","Creighton","So.","5-11","F","4"
"","Eric Sadlocha","NJIT","So.","6-3","D","4"
"","Valter Salavuo","Queens (NC)","So.","6-1","MD","4"
"","Diego Sanchez","FIU","Fr.","5-9","D","4"
"","Joan Sanchis","Rhode Island","Sr.","5-11","M","4"
"","Jack Sandmeyer","North Carolina","Sr.","6-6","M","4"
"","Xande Santos","Grand Canyon","So.","6-0","M","4"
"","Owen Santos","Chicago St.","Sr.","5-11","M","4"
"","Noah Sapsford","Lindenwood","Sr.","5-9","M","4"
"","Balthazar Saunders","UConn","Sr.","6-0","M","4"
"","Nicolas Scargle","West Virginia","Sr.","6-0","D","4"
"","Aidan Semelsberger","Denver","Sr.","5-5","M","4"
"","Martim Sereno","George Mason","So.","5-9","F","4"
"","Ameer Shetiah","Purdue Fort Wayne","Sr.","5-9","D","4"
"","Saul Silva","Chicago St.","Jr.","5-10","M","4"
"","Jake Smith","Denver","Sr.","6-0","M","4"
"","Oliver Snowdon","American","So.","5-8","M","4"
"","Giovanni Soares","Bowling Green","Sr.","6-2","D","4"
"","Sinan Solmaz","Kentucky","Jr.","6-3","D","4"
"","Chris Steinleitner","Maryland","Sr.","6-2","M","4"
"","Mateo Stoka","Marquette","Jr.","5-9","M","4"
"","Joe Suchecki","Northwestern","Sr.","6-4","M","4"
"","Andrew Sullivan","Santa Clara","So.","6-0","M","4"
"","Cassidy Tanddo","Saint Joseph's","Jr.","5-11","D","4"
"","Bacary Tandjigora","Virginia","Fr.","6-0","M","4"
"","Arnaud Tattevin","UNC Greensboro","Jr.","5-10","F","4"
"","Iann Topete","Purdue Fort Wayne","Sr.","5-11","F","4"
"","Bryan Toro","Boston College","So.","6-0","D","4"
"","Joaquin Torres","Cal Poly","Jr.","6-2","D","4"
"","Nathan Tozzi","Queens (NC)","Jr.","6-3","MD","4"
"","Haruki Utsumi","UC Santa Barbara","Sr.","6-3","D","4"
"","Jackson Vajda","Lafayette","So.","6-2","MD","4"
"","Diego Valles","Jacksonville","Jr.","5-9","M","4"
"","Nicolo Vallocchia","Merrimack","Fr.","5-8","M","4"
"","Max Viera","Georgetown","Sr.","5-9","M","4"
"","Kyler Vojvodic","Rhode Island","Fr.","5-9","M","4"
"","Aleksandar Vukovic","Duke","Sr.","6-4","D","4"
"","Jack Wagner","Milwaukee","So.","6-4","D","4"
"","Nalu Wagner","Evansville","Sr.","6-1","D","4"
"","Curtis Wagner","Loyola Maryland","Sr.","6-3","D","4"
"","Zion Wharton","Brown","Jr.","-","M","4"
"","Donovan Williams","Ohio St.","Sr.","5-11","D","4"
"","Skyler Wright","Campbell","Fr.","6-2","F","4"
"","Joshua Yoder","Longwood","Sr.","6-2","M","4"
"","Diego Zaffanella","Yale","Sr.","5-11","M","4"
"","Ludvig af Ugglas","Vermont","Fr.","6-3","D","4"
"","David de la Vibora Bonilla","Marshall","So.","5-7","F","4"
"442","Paul Abbatiello","Manhattan","Jr.","5-11","D","3"
"","Sulaiman Abdul-Mateen","VCU","Jr.","5-11","F","3"
"","Ameer Abdullah","Loyola Chicago","Jr.","6-2","D","3"
"","Kamran Acito","Duke","Sr.","6-3","D","3"
"","Prosper Adagani","High Point","Fr.","5-11","F","3"
"","Gabriel Addo","St. Bonaventure","Sr.","5-8","M","3"
"","Simon Adjakple","Yale","Jr.","6-1","FM","3"
"","Sean Adu-Gyamfi","Army West Point","Sr.","6-2","M","3"
"","Jeffrey Aguilar","James Madison","Jr.","5-3","M","3"
"","Axel Agurcia","CSUN","Sr.","6-0","M","3"
"","Kwaku Agyabeng","Clemson","Fr.","-","M","3"
"","Francesco Aiello","Fla. Atlantic","Jr.","6-1","F","3"
"","Miles Akhigbe","St. Thomas (MN)","Sr.","-","D","3"
"","Ulisse Alberti","CSU Bakersfield","Jr.","6-4","D","3"
"","Ignacio Alem","Akron","So.","5-10","F","3"
"","Fynn Allmon","Saint Mary's (CA)","Jr.","6-2","D","3"
"","Beltran Alvarez","Virginia Tech","So.","5-11","M","3"
"","David Ambaek","Longwood","Sr.","6-2","D","3"
"","Jaiden Anderson","Queens (NC)","So.","6-3","F","3"
"","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","3"
"","Leo Andrade","Gardner-Webb","Sr.","-","D","3"
"","Gabe Anguil","Marquette","Sr.","5-8","M","3"
"","Beto Apolinar","San Diego St.","Sr.","5-10","M","3"
"","Justin Arias","Green Bay","Fr.","-","M","3"
"","Devin Armstrong","NJIT","Sr.","6-2","GK","3"
"","Cameron Arnold","James Madison","Jr.","6-0","F","3"
"","Ola Arntsen","Wisconsin","Sr.","5-11","M","3"
"","Fernando Arteaga","Mercer","Sr.","5-9","FM","3"
"","Douglas Arveskar","Dartmouth","Jr.","6-4","F","3"
"","Michael Asare","Boston College","So.","6-0","F","3"
"","Max Asplin-Rowley","Manhattan","So.","5-11","D","3"
"","Cesar Aubour","Cal St. Fullerton","So.","5-8","M","3"
"","Lorenzo Avalos","Villanova","So.","6-0","D","3"
"","Diego Avelar","Saint Joseph's","Jr.","6-1","D","3"
"","Clarence Awoudor","UCF","Sr.","5-7","FM","3"
"","Luke Ayaz","FDU","Jr.","6-1","M","3"
"","Serigne Babacar Diallo","Grand Canyon","So.","6-1","D","3"
"","KK Baffour","Notre Dame","Sr.","5-8","M","3"
"","Rochaine Baker","UIW","So.","-","D","3"
"","Will Baker","Michigan","Jr.","6-4","D","3"
"","Mateo Balbino","Quinnipiac","Fr.","5-11","-","3"
"","Luca Baltzer","Pacific","Sr.","6-1","M","3"
"","Jose Maria Barrera","Pacific","Sr.","5-10","M","3"
"","Luca Bartoni","Lindenwood","Sr.","6-1","F","3"
"","Colin Bastianoni","SIUE","Jr.","6-0","D","3"
"","Mathias Baucher","Kansas City","Sr.","5-9","M","3"
"","Mathias Bauer","San Diego","So.","6-1","D","3"
"","Noah Baumslag","Canisius","Fr.","5-10","F","3"
"","Gabriel Baylon","Oakland","Sr.","5-8","M","3"
"","Alessandro Bedei","Merrimack","Sr.","6-0","D","3"
"","Jack Beerling","Colgate","Jr.","5-11","M","3"
"","Ryan Belal","Wake Forest","So.","6-0","F","3"
"","Jalen Belong","Massachusetts","Jr.","6-2","F","3"
"","Lucas Bergfors","USC Upstate","Fr.","5-10","F","3"
"","Ryan Berghauer","Milwaukee","So.","6-0","D","3"
"","Luca Bernoth","Fordham","Sr.","6-1","M","3"
"","Nzuhri Biggar","Belmont","Fr.","6-5","M","3"
"","Stefan Bilinac","Omaha","Sr.","5-10","M","3"
"","Ben Bischof","Loyola Chicago","Sr.","5-11","M","3"
"","Perry Blay","Liberty","Jr.","5-6","D","3"
"","Baptiste Boit","San Diego St.","Sr.","6-2","D","3"
"","Joel Bona","Rhode Island","Sr.","5-11","D","3"
"","Andrej Borak","Boston College","Fr.","6-5","GK","3"
"","Anthony Boyadjian","LMU (CA)","Fr.","-","F","3"
"","Diogo Branco","William & Mary","Sr.","5-9","M","3"
"","Adrian Bravo-Sanchez","Cleveland St.","So.","5-8","D","3"
"","Nolan Brice","Xavier","So.","6-4","D","3"
"","Matteo Brossel","New Hampshire","Sr.","5-9","M","3"
"","Woody Brown","UC San Diego","So.","6-1","M","3"
"","Russell Brown","Boston College","Jr.","6-2","F","3"
"","Jack Brown","Davidson","Sr.","5-11","M","3"
"","Felix Buabeng","Dayton","Jr.","5-10","F","3"
"","Nikolai Bull Jorgensen","Duke","Jr.","6-2","FM","3"
"","Damen Burney","William & Mary","Fr.","6-6","D","3"
"","Tiago Campos","Gardner-Webb","Jr.","-","M","3"
"","Matteo Carbone","Pacific","Sr.","6-0","D","3"
"","Will Carson","George Mason","Sr.","6-1","D","3"
"","Landon Cartwright","William & Mary","Sr.","6-0","D","3"
"","Anthony Catanzaro","Central Conn. St.","Jr.","-","F","3"
"","Tyler Caton","NC State","Jr.","5-11","M","3"
"","Lucas Cavalcante","Creighton","Fr.","-","M","3"
"","Adam Celik","Wofford","So.","6-1","D","3"
"","Bruno Cellerino","Missouri St.","Fr.","5-11","D","3"
"","Benji Chavarria","Loyola Chicago","So.","5-8","F","3"
"","Tatenda Chigede","UIW","Jr.","6-1","M","3"
"","Mikey Chiha","La Salle","Jr.","5-8","M","3"
"","Jorhan Chopin","USC Upstate","Sr.","6-2","M","3"
"","Lucas Christensen","Gardner-Webb","Sr.","5-11","D","3"
"","Constantinos Christou","West Virginia","Sr.","5-10","M","3"
"","Dominic Cintra","Coastal Carolina","Jr.","6-1","F","3"
"","Alexander Clive Vokes","UAlbany","Fr.","-","M","3"
"","Lewis Clutton","LMU (CA)","Sr.","5-9","FM","3"
"","Christian Combs","Drexel","Sr.","5-9","F","3"
"","Camilo Comi","VCU","Sr.","5-7","F","3"
"","Ty Conley","Liberty","Sr.","6-0","M","3"
"","Haroun Conteh","California Baptist","So.","6-1","D","3"
"","Hugo Cornish","SIUE","Jr.","6-1","F","3"
"","Riley Cotton","Robert Morris","Fr.","5-10","M","3"
"","Jonah Craig","UNLV","Sr.","-","M","3"
"","Wesley Cribb","Kansas City","So.","6-1","D","3"
"","Charlie Crockford","Col. of Charleston","Sr.","6-1","-","3"
"","Giovanni Cruz","Green Bay","Fr.","5-9","D","3"
"","Myles Culley","Davidson","Jr.","6-0","FM","3"
"","Edin Cvorovic","Southern Ind.","Fr.","6-2","F","3"
"","Stefano D'Agostini","Brown","So.","-","D","3"
"","Jonathan Dadzie","Sacramento St.","So.","6-0","D","3"
"","Iyke Dafe","Brown","Jr.","-","D","3"
"","Jack Dancer","Drake","Fr.","6-0","D","3"
"","Israel Daniels","Stetson","Jr.","-","M","3"
"","Sam Danner","Saint Mary's (CA)","Sr.","5-8","M","3"
"","Nayan Das","Harvard","So.","6-0","D","3"
"","Pavel Dashin","Col. of Charleston","Sr.","6-2","-","3"
"","Caleb Davis","Lipscomb","Jr.","5-9","MD","3"
"","Noah De Blasis","Louisville","So.","6-3","D","3"
"","Sacha De Corte","Jacksonville","Sr.","6-2","D","3"
"","Andrew De Gannes","Oregon St.","Sr.","5-9","D","3"
"","Eduardo De Oliveira","UTRGV","Jr.","5-10","M","3"
"","Antoine DeCoteau","Mount St. Mary's","So.","6-1","D","3"
"","Quin DeLaMater","Boston U.","Sr.","6-2","D","3"
"","Sam Delgado","William & Mary","Sr.","-","F","3"
"","Francesco Di Turi","Merrimack","So.","5-11","D","3"
"","Nic Diana","Milwaukee","Jr.","6-1","GK","3"
"","Henrique Dias","Canisius","Fr.","6-0","D","3"
"","Junior Diouf","Grand Canyon","Fr.","6-1","F","3"
"","Sello Diphoko","UIW","Sr.","5-9","D","3"
"","William Dodzi Afawubo","Robert Morris","Sr.","6-0","D","3"
"","Ethan Doud","Gonzaga","Sr.","-","-","3"
"","Cole Dougherty","Fairfield","Jr.","6-1","D","3"
"","Mason Dougherty","San Francisco","Sr.","5-11","M","3"
"","Miles Douglas","Marist","Fr.","6-2","M","3"
"","Enzo Dovlo","UNC Greensboro","Jr.","6-0","F","3"
"","Sebastian Drummond","Stony Brook","Fr.","6-5","D","3"
"","Kiryl Dubins","Canisius","Fr.","6-0","D","3"
"","Braden Dunham","Furman","Fr.","6-1","D","3"
"","Tanner Dutra","Utah Tech","So.","6-4","MD","3"
"","Pierce Dyal","Santa Clara","Sr.","5-7","M","3"
"","Nick Dyer","Wofford","Jr.","6-1","D","3"
"","Grady Easton","Saint Louis","Sr.","6-3","D","3"
"","Gaven Egan","Binghamton","Sr.","5-10","FM","3"
"","Zachary Ehrenpreis","Virginia","Fr.","6-4","D","3"
"","Ask Ekeland","Boston College","Sr.","6-3","M","3"
"","Aloni Elfu","Presbyterian","Fr.","5-8","M","3"
"","Brady Elliott","UC Riverside","So.","6-5","D","3"
"","Osato Enabulele","Washington","Fr.","6-2","M","3"
"","Chisom Ene","CSU Bakersfield","Jr.","6-4","F","3"
"","Christian Engmann","San Diego St.","Sr.","6-3","D","3"
"","Daniel Escorcia","SMU","Sr.","-","M","3"
"","Paul Espinoza","Longwood","Sr.","5-6","M","3"
"","William Fagerberg","Manhattan","So.","6-0","M","3"
"","Babacar Fall","George Washington","Sr.","5-10","F","3"
"","Arnau Farnos","Oregon St.","Sr.","5-9","M","3"
"","Lucas Fernandez-Kim","Oregon St.","Sr.","5-8","M","3"
"","Braden Ferreira","UC Irvine","Jr.","6-1","M","3"
"","Manolo Ferreres","Butler","Sr.","6-2","D","3"
"","Buba Fofanah","UC Santa Barbara","Sr.","5-9","F","3"
"","Drake Fournier","Saint Louis","So.","-","M","3"
"","Amari Fowlkes","Bradley","So.","5-10","M","3"
"","Caleb Frakes","Northern Ky.","So.","5-11","D","3"
"","Theo Franca","Saint Louis","Fr.","6-2","F","3"
"","Matheus Franca","FDU","Jr.","6-2","GK","3"
"","Daniel Fregoso Bautista","San Jose St.","So.","5-9","M","3"
"","Andres Freire","Stetson","Sr.","6-1","F","3"
"","Ricardo Garcia","Houston Christian","Jr.","5-6","M","3"
"","Nacho Garcia","Evansville","Sr.","6-0","D","3"
"","Daniel Garcia","CSUN","Fr.","-","D","3"
"","Matty Gardner","Northeastern","Sr.","-","D","3"
"","Micaah Garnette","Portland","Sr.","5-9","F","3"
"","Tiernan Garvey","Saint Peter's","So.","6-0","M","3"
"","Albin Gashi","Virginia","Sr.","5-11","M","3"
"","Connor Gibson","Boston College","Sr.","6-0","M","3"
"","Johannes Gikas","Central Conn. St.","So.","-","F","3"
"","Kolby Godbolt","Old Dominion","Sr.","6-0","F","3"
"","Aidan Godinho","Georgetown","So.","5-10","M","3"
"","Everson Goglia","Rhode Island","Fr.","5-10","M","3"
"","Jamin Gogo Peters","Brown","Sr.","-","F","3"
"","Guilherme Gomes","St. John's (NY)","Fr.","6-2","D","3"
"","Luke Goodman","UC Davis","Sr.","6-3","D","3"
"","Jackson Gould","Stony Brook","Sr.","5-11","M","3"
"","Johnny Gourley","Xavier","Fr.","5-11","M","3"
"","Benjamin Graham","Western Ill.","So.","5-9","MD","3"
"","Ian Graham","Southern Ind.","Jr.","6-1","D","3"
"","Luc Granitur","North Florida","Sr.","5-10","F","3"
"","Anthony Grudko","Memphis","Fr.","5-8","M","3"
"","Ransford Gyan","Clemson","So.","5-6","F","3"
"","Alex Hall","Washington","So.","5-11","M","3"
"","Smith Halloran","James Madison","Fr.","6-0","F","3"
"","Henry Hamilton","Manhattan","Sr.","5-8","F","3"
"","Arnor Hardarson","UNC Asheville","Fr.","5-10","F","3"
"","Nathan Harmon","Yale","Fr.","5-11","MD","3"
"","Niels Hartman","Vermont","Sr.","6-2","M","3"
"","Andrew Heckenlaible","Saint Louis","So.","-","F","3"
"","Johan Helan","FIU","Fr.","6-3","F","3"
"","Matthew Henderson","Penn St.","Sr.","5-10","D","3"
"","Alvaro Heredia","NJIT","Sr.","5-6","M","3"
"","Rodrigo Hermelo","UAlbany","So.","-","D","3"
"","Anthony Hernandez","Bowling Green","Jr.","5-7","M","3"
"","Jonny Hernandez","Purdue Fort Wayne","Fr.","5-10","M","3"
"","Diego Hernandez","Furman","Jr.","5-9","M","3"
"","Joe Hernandez","NIU","Jr.","5-10","M","3"
"","Mikey Hernandez","Wofford","Jr.","5-8","D","3"
